match_id,date,venue,winner,loser,margin,margin_type,winner_rating,loser_rating,winner_expected,rating_change,winner_xi_size,loser_xi_size
1273725,2021-10-23,Dubai International Cricket Stadium,England,West Indies,6,wickets,1499.7891609838848,1503.8264716979406,0.49419010433812066,24.278874991770206,10,11
1273724,2021-10-23,"Zayed Cricket Stadium, Abu Dhabi",Australia,South Africa,5,wickets,1498.5085877842635,1499.468751784324,0.4986182164468604,19.253060488440557,11,11
1273726,2021-10-24,Sharjah Cricket Stadium,Sri Lanka,Bangladesh,5,wickets,1504.8926730455505,1497.5015278756262,0.5106351086418703,18.791611828152178,11,10
1273727,2021-10-24,Dubai International Cricket Stadium,Pakistan,India,10,wickets,1499.781675300831,1504.3052913818801,0.49349036098882887,24.312462672536217,8,11
1273730,2021-10-26,Sharjah Cricket Stadium,Pakistan,New Zealand,5,wickets,1501.092538880941,1501.7219647095458,0.49909418440965975,19.234783318669066,11,11
1273729,2021-10-26,Dubai International Cricket Stadium,South Africa,West Indies,8,wickets,1498.0902250410513,1501.819953103579,0.49463269602707355,24.257630590700472,9,11
1273731,2021-10-27,"Zayed Cricket Stadium, Abu Dhabi",England,Bangladesh,8,wickets,1501.9073273792073,1496.3309385112852,0.5080243796416309,23.614829777201713,10,11
1273732,2021-10-27,"Zayed Cricket Stadium, Abu Dhabi",Namibia,Scotland,4,wickets,1501.7859592617983,1504.3725060651377,0.4962777286967394,19.342935218045202,10,11
1273733,2021-10-28,Dubai International Cricket Stadium,Australia,Sri Lanka,7,wickets,1499.8944147007858,1507.0359440171617,0.4897239603512698,24.493249903139052,9,11
1273734,2021-10-29,Sharjah Cricket Stadium,West Indies,Bangladesh,3,runs,1499.6232282397866,1494.1971617634144,0.5078081025610309,15.75014071804701,11,11
1273736,2021-10-30,Sharjah Cricket Stadium,South Africa,Sri Lanka,4,wickets,1499.6818763333476,1504.809284935058,0.49262160151836515,19.48333050169478,11,11
1273737,2021-10-30,Dubai International Cricket Stadium,England,Australia,8,wickets,1504.1671619522774,1501.763308359185,0.5034593682054288,23.833950326139416,9,11
1273739,2021-10-31,Dubai International Cricket Stadium,New Zealand,India,8,wickets,1500.9039331558688,1501.7176089887885,0.4988290284886836,24.056206632543187,9,11
1273740,2021-11-01,Sharjah Cricket Stadium,England,Sri Lanka,26,runs,1505.5392587508454,1503.0380730712677,0.5035994333573153,19.061781759079093,11,11
1273742,2021-11-02,"Zayed Cricket Stadium, Abu Dhabi",Pakistan,Namibia,45,runs,1503.5191937143584,1502.3642322915398,0.5016621169745125,23.9202183852234,9,10
1273741,2021-11-02,"Zayed Cricket Stadium, Abu Dhabi",South Africa,Bangladesh,6,wickets,1501.4530881971389,1494.4590310948224,0.5100638978779887,23.516932901856542,11,11
1273743,2021-11-03,Dubai International Cricket Stadium,New Zealand,Scotland,16,runs,1502.2098117625972,1502.9328140967255,0.49895951750393364,19.239954527848948,11,11
1273745,2021-11-04,Dubai International Cricket Stadium,Australia,Bangladesh,8,wickets,1499.7645549233107,1492.1370956805692,0.5109750330987881,23.47319841125817,8,11
1273746,2021-11-04,"Zayed Cricket Stadium, Abu Dhabi",Sri Lanka,West Indies,20,runs,1501.198378274271,1501.055059214154,0.5002062526954058,19.19207989649642,9,11
1273748,2021-11-05,Dubai International Cricket Stadium,India,Scotland,8,wickets,1501.5964354484795,1501.1837273214662,0.5005939344587825,23.97149114597844,9,11
1273747,2021-11-05,Sharjah Cricket Stadium,New Zealand,Namibia,52,runs,1503.9588985378562,1500.9252870436978,0.5043656069366333,23.7904508670416,11,11
1273749,2021-11-06,"Zayed Cricket Stadium, Abu Dhabi",Australia,West Indies,8,wickets,1501.8984820516066,1499.5394223158794,0.5033949076914443,23.83704443081067,8,11
1273750,2021-11-06,Sharjah Cricket Stadium,South Africa,England,10,runs,1503.9335049421695,1506.5218220772558,0.49627518112585206,19.343033044767278,9,11
1273752,2021-11-07,Sharjah Cricket Stadium,Pakistan,Scotland,72,runs,1504.6203453435228,1499.5919475280562,0.5072359409397454,23.652674834892217,11,11
1273753,2021-11-08,Dubai International Cricket Stadium,India,Namibia,9,wickets,1503.5662720647592,1499.1189333267087,0.5063998853851656,23.692805501512055,8,11
1273754,2021-11-10,"Zayed Cricket Stadium, Abu Dhabi",New Zealand,England,5,wickets,1506.121666798496,1504.432181752848,0.502431345261651,19.1066363419526,11,10
1273755,2021-11-11,Dubai International Cricket Stadium,Australia,Pakistan,5,wickets,1503.2388799658854,1506.7705885103312,0.494917637895619,19.39516270480823,11,11
1273756,2021-11-14,Dubai International Cricket Stadium,Australia,New Zealand,8,wickets,1505.8286827002994,1507.146292843059,0.4981038156697391,24.091016847852526,8,11
1298136,2022-10-16,"GMHBA Stadium, South Geelong, Victoria",Netherlands,United Arab Emirates,3,wickets,1495.6289076998148,1500.0,0.49370982438865857,19.44154274347551,11,11
1298135,2022-10-16,"GMHBA Stadium, South Geelong, Victoria",Namibia,Sri Lanka,55,runs,1496.9942934327842,1501.0650708385076,0.49414194845419934,24.28118647419843,10,11
1298138,2022-10-17,"Bellerive Oval, Hobart",Zimbabwe,Ireland,31,runs,1500.9510056626075,1498.000201291498,0.5042464467462092,23.796170556181956,11,11
1298137,2022-10-17,"Bellerive Oval, Hobart",Scotland,West Indies,42,runs,1497.9960286938644,1497.6941791225106,0.5004343963427845,23.979148975546345,11,11
1298139,2022-10-18,"GMHBA Stadium, South Geelong, Victoria",Netherlands,Namibia,5,wickets,1497.593410781025,1499.2016740213478,0.4976855396790516,19.28887527632442,11,10
1298140,2022-10-18,"GMHBA Stadium, South Geelong, Victoria",Sri Lanka,United Arab Emirates,79,runs,1499.0450114725004,1498.393260930291,0.5009379433265818,23.95497872032407,11,11
1298141,2022-10-19,"Bellerive Oval, Hobart",Ireland,Scotland,6,wickets,1495.8369130591177,1500.175951328005,0.4937559466005176,24.299714563175158,11,11
1298142,2022-10-19,"Bellerive Oval, Hobart",West Indies,Zimbabwe,31,runs,1496.6176254612271,1502.9176313284077,0.4909345563070716,24.435141297260564,11,11
1298143,2022-10-20,"GMHBA Stadium, South Geelong, Victoria",Sri Lanka,Netherlands,16,runs,1501.7418357819045,1499.3469448970545,0.5034464704465658,19.067655534851873,11,11
1298144,2022-10-20,"GMHBA Stadium, South Geelong, Victoria",United Arab Emirates,Namibia,7,runs,1496.4982078730345,1497.3713074534264,0.498743511345873,16.040207636932063,10,11
1298145,2022-10-21,"Bellerive Oval, Hobart",Ireland,West Indies,9,wickets,1498.1387946391312,1498.6370586262901,0.4992829409733362,24.034418833279865,9,11
1298146,2022-10-21,"Bellerive Oval, Hobart",Zimbabwe,Scotland,5,wickets,1501.2101556278362,1497.9668863677164,0.504667304088029,19.020775523019687,10,11
1298147,2022-10-22,Sydney Cricket Ground,New Zealand,Australia,89,runs,1504.4786592118871,1506.2791240334425,0.4974089460323626,24.1243705904466,10,11
1298149,2022-10-23,"Bellerive Oval, Hobart",Sri Lanka,Ireland,9,wickets,1504.076248421156,1499.8336620648572,0.5061052691089338,23.706947082771176,8,11
1298150,2022-10-23,Melbourne Cricket Ground,India,Pakistan,4,wickets,1503.9529704206543,1503.1579932064574,0.5011440621800844,19.156068012284756,11,11
1298151,2022-10-24,"Bellerive Oval, Hobart",Bangladesh,Netherlands,9,runs,1495.1799901708093,1497.4919911288307,0.4966728122733061,16.106470007254202,11,10
1298153,2022-10-25,Perth Stadium,Australia,Sri Lanka,7,wickets,1504.0671223691447,1505.0426604723637,0.49859609150558765,24.067387607731796,9,11
1298154,2022-10-26,Melbourne Cricket Ground,Ireland,England,5,runs,1497.869337604279,1501.8080350982402,0.4943320014724857,16.181375952880458,11,11
1298157,2022-10-27,Sydney Cricket Ground,India,Netherlands,56,runs,1506.089728191109,1496.4855204269168,0.5138180465433367,23.33673376591984,10,11
1298156,2022-10-27,Sydney Cricket Ground,South Africa,Bangladesh,104,runs,1502.9810287211114,1496.511103394549,0.509309894879341,23.55312504579163,11,11
1298158,2022-10-27,Perth Stadium,Zimbabwe,Pakistan,1,runs,1502.1979080196477,1501.380695887684,0.501176060626697,15.962366059945698,11,11
1298161,2022-10-29,Sydney Cricket Ground,New Zealand,Sri Lanka,65,runs,1506.4195344414459,1502.38619625402,0.505804179507642,23.721399383633184,11,11
1298162,2022-10-30,"Brisbane Cricket Ground, Woolloongabba, Brisbane",Bangladesh,Zimbabwe,3,runs,1494.6976754569405,1503.991310205716,0.48662857350814664,16.42788564773931,11,11
1298163,2022-10-30,Perth Stadium,Pakistan,Netherlands,6,wickets,1500.611645650054,1494.1348857468622,0.5093197272121337,23.552653093817582,11,12
1298164,2022-10-30,Perth Stadium,South Africa,India,5,wickets,1504.3709740426602,1507.271906652193,0.495825319398213,19.360307735108623,11,11
1298165,2022-10-31,"Brisbane Cricket Ground, Woolloongabba, Brisbane",Australia,Ireland,42,runs,1505.6772316728384,1499.3403717818137,0.50911846335959,23.56231375873968,11,11
1298167,2022-11-01,"Brisbane Cricket Ground, Woolloongabba, Brisbane",England,New Zealand,20,runs,1500.3370009207051,1508.576025294503,0.48814531286881074,19.655219985837668,11,11
1298168,2022-11-02,Adelaide Oval,Netherlands,Zimbabwe,5,wickets,1491.624017982165,1502.6283529559769,0.48416878245819095,19.807918753605467,11,11
1298169,2022-11-02,Adelaide Oval,India,Bangladesh,5,runs,1506.0230613995243,1496.3932774902953,0.513854825388379,15.556645587571872,11,11
1298170,2022-11-03,Sydney Cricket Ground,Pakistan,South Africa,33,runs,1502.1663069484357,1505.4812920020665,0.4952294977820705,24.228984106460615,11,11
1298171,2022-11-04,Adelaide Oval,New Zealand,Ireland,35,runs,1506.7891871139727,1497.198343258292,0.5137988290012617,23.33765620793944,11,11
1298173,2022-11-05,Sydney Cricket Ground,England,Sri Lanka,4,wickets,1502.0495435885537,1500.2297054009623,0.5026189337257395,19.099432944931603,10,11
1298176,2022-11-06,Melbourne Cricket Ground,India,Zimbabwe,71,runs,1506.9106814515362,1500.8365551705144,0.5087404799121913,23.580456964214818,11,11
1298175,2022-11-06,Adelaide Oval,Pakistan,Bangladesh,5,wickets,1504.3689418672047,1494.2746557598591,0.5145227593744587,18.642326040020787,11,11
1298174,2022-11-06,Adelaide Oval,Netherlands,South Africa,13,runs,1493.424737868857,1503.8150735043025,0.48505156117845394,19.774020050747367,11,11
1298177,2022-11-09,Sydney Cricket Ground,Pakistan,New Zealand,7,wickets,1506.3854729382178,1508.9107922237854,0.4963658374091276,24.174439804361878,10,11
1298178,2022-11-10,Adelaide Oval,England,India,10,wickets,1504.6705444655615,1509.054359357374,0.49369151801368183,24.302807135343272,8,11
1298179,2022-11-13,Melbourne Cricket Ground,England,Pakistan,5,wickets,1505.49251498008,1508.0615863670716,0.4963028764580735,19.341969544009977,11,11
1415701,2024-06-01,"Grand Prairie Stadium, Dallas",United States of America,Canada,7,wickets,1500.5261355004677,1500.0,0.5007571692713836,23.96365587497359,10,11
1415702,2024-06-02,"Providence Stadium, Guyana",West Indies,Papua New Guinea,5,wickets,1498.7710027494088,1495.761499801294,0.5043309145739029,19.03369288036213,11,11
1415704,2024-06-03,"Nassau County International Cricket Stadium, New York",South Africa,Sri Lanka,6,wickets,1502.9413034876316,1499.5414696019618,0.5048925981003746,23.76515529118202,11,11
1415707,2024-06-04,"Grand Prairie Stadium, Dallas",Netherlands,Nepal,6,wickets,1496.4372893009343,1499.9987544406652,0.49487481917461,24.246008679618722,10,11
1415708,2024-06-05,"Nassau County International Cricket Stadium, New York",India,Ireland,8,wickets,1504.146386811527,1495.5288324291503,0.5123991151025067,23.40484247507968,11,11
1415709,2024-06-05,"Providence Stadium, Guyana",Uganda,Papua New Guinea,3,wickets,1500.0,1494.1884673318425,0.5083626878870714,18.87887278513646,11,11
1415710,2024-06-05,"Kensington Oval, Bridgetown, Barbados",Australia,Oman,39,runs,1506.4587854887172,1498.833779533674,0.5109715042344847,23.473367796744736,10,11
1415712,2024-06-06,"Kensington Oval, Bridgetown, Barbados",Scotland,Namibia,5,wickets,1497.125834162731,1498.2851328069255,0.4983316413314185,19.26406497287353,11,11
1415713,2024-06-07,"Nassau County International Cricket Stadium, New York",Canada,Ireland,12,runs,1498.019532572316,1492.8677679105385,0.5074134420004931,18.915323827181066,11,11
1415715,2024-06-07,"Grand Prairie Stadium, Dallas",Bangladesh,Sri Lanka,2,wickets,1492.557810534114,1497.37542515581,0.49306733955527726,16.221845134231128,11,11
1415718,2024-06-08,"Providence Stadium, Guyana",West Indies,Uganda,134,runs,1500.6264295008302,1501.7162611622846,0.498431611308056,24.07528265721331,10,11
1415717,2024-06-08,"Kensington Oval, Bridgetown, Barbados",Australia,England,36,runs,1508.8445706049686,1504.9067362633289,0.5056667565110622,23.727995687469015,11,11
