match_id,date,venue,winner,loser,margin,margin_type,winner_rating_before,winner_rating_after,winner_change,loser_rating_before,loser_rating_after,loser_change,winner_expected
1273736,2021-10-30,Sharjah Cricket Stadium,South Africa,Sri Lanka,4,wickets,1517.1812501448735,1538.2439665346756,21.062716389801974,1550.994580703743,1529.9318643139409,-21.062716389801974,0.4514917606822403
1273737,2021-10-30,Dubai International Cricket Stadium,England,Australia,8,wickets,1556.6860409247797,1578.3481980011509,21.662157076371187,1522.7346398897312,1501.07248281336,-21.662157076371187,0.5487050609089336
1273739,2021-10-31,Dubai International Cricket Stadium,New Zealand,India,8,wickets,1519.7878495925295,1545.2102490218865,25.422399429357068,1540.4033505736631,1514.9809511443061,-25.422399429357068,0.47036667855506104
1273740,2021-11-01,Sharjah Cricket Stadium,England,Sri Lanka,26,runs,1578.3481980011509,1594.8897984380947,16.541600436943714,1529.9318643139409,1513.390263876997,-16.541600436943714,0.5692291552879241
1273742,2021-11-02,"Zayed Cricket Stadium, Abu Dhabi",Pakistan,Namibia,45,runs,1511.970635541211,1538.119986666655,26.14935112544387,1543.169266908065,1517.0199157826212,-26.14935112544387,0.4552218515532527
1273741,2021-11-02,"Zayed Cricket Stadium, Abu Dhabi",South Africa,Bangladesh,6,wickets,1538.2439665346756,1553.3479241310688,15.103957596393277,1403.0228084956739,1387.9188508992806,-15.103957596393277,0.6853342167418067
1273743,2021-11-03,Dubai International Cricket Stadium,New Zealand,Scotland,16,runs,1545.2102490218865,1563.8139440852021,18.603695063315616,1534.4162799637943,1515.8125849004787,-18.603695063315616,0.5155287743928225
1273745,2021-11-04,Dubai International Cricket Stadium,Australia,Bangladesh,8,wickets,1501.07248281336,1517.5212226090825,16.448739795722528,1387.9188508992806,1371.470111103558,-16.448739795722528,0.6573179209224473
1273746,2021-11-04,"Zayed Cricket Stadium, Abu Dhabi",Sri Lanka,West Indies,20,runs,1513.390263876997,1535.9677066467466,22.577442769749606,1575.1494938325827,1552.5720510628332,-22.577442769749606,0.41204576120443737
1273748,2021-11-05,Dubai International Cricket Stadium,India,Scotland,8,wickets,1514.9809511443061,1539.038398259286,24.057447114979713,1515.8125849004787,1491.7551377854988,-24.057447114979713,0.4988031851045893
1273747,2021-11-05,Sharjah Cricket Stadium,New Zealand,Namibia,52,runs,1563.8139440852021,1584.6009314630824,20.786987377880305,1517.0199157826212,1496.232928404741,-20.786987377880305,0.566937762960827
1273749,2021-11-06,"Zayed Cricket Stadium, Abu Dhabi",Australia,West Indies,8,wickets,1517.5212226090825,1543.9342672277842,26.413044618701647,1552.5720510628332,1526.1590064441316,-26.413044618701647,0.44972823711038235
